ts_code,year_week
000001.SZ,2023-W24
000001.SZ,2023-W26
000001.SZ,2023-W27
000001.SZ,2023-W28
000001.SZ,2023-W29
000001.SZ,2023-W30
000001.SZ,2023-W31
000001.SZ,2023-W32
000001.SZ,2023-W33
000001.SZ,2023-W34
000001.SZ,2023-W35
000001.SZ,2023-W36
000001.SZ,2023-W37
000001.SZ,2023-W38
000001.SZ,2023-W41
000001.SZ,2023-W42
000001.SZ,2023-W43
000001.SZ,2023-W44
000001.SZ,2023-W45
000001.SZ,2023-W46
000001.SZ,2023-W47
000001.SZ,2023-W48
000001.SZ,2023-W49
000001.SZ,2023-W50
000001.SZ,2023-W51
000001.SZ,2023-W52
000001.SZ,2024-W02
000001.SZ,2024-W03
000001.SZ,2024-W04
000001.SZ,2024-W05
000001.SZ,2024-W08
000001.SZ,2024-W09
000001.SZ,2024-W10
000001.SZ,2024-W11
000001.SZ,2024-W12
000001.SZ,2024-W13
000001.SZ,2024-W15
000001.SZ,2024-W16
000001.SZ,2024-W17
000001.SZ,2024-W19
000001.SZ,2024-W20
000001.SZ,2024-W21
000001.SZ,2024-W22
000001.SZ,2024-W23
000001.SZ,2024-W25
000001.SZ,2024-W26
000001.SZ,2024-W27
000001.SZ,2024-W28
000001.SZ,2024-W29
000001.SZ,2024-W30
000001.SZ,2024-W31
000001.SZ,2024-W32
000001.SZ,2024-W33
000001.SZ,2024-W34
000001.SZ,2024-W35
000001.SZ,2024-W36
000001.SZ,2024-W37
000001.SZ,2024-W39
000001.SZ,2024-W42
000001.SZ,2024-W43
000001.SZ,2024-W44
000001.SZ,2024-W45
000001.SZ,2024-W46
000001.SZ,2024-W47
000001.SZ,2024-W48
000001.SZ,2024-W49
000001.SZ,2024-W50
000001.SZ,2024-W51
000001.SZ,2024-W52
000001.SZ,2025-W02
000001.SZ,2025-W03
000001.SZ,2025-W04
000001.SZ,2025-W07
000001.SZ,2025-W08
000001.SZ,2025-W09
000001.SZ,2025-W10
000001.SZ,2025-W11
000001.SZ,2025-W12
000001.SZ,2025-W13
000001.SZ,2025-W15
000001.SZ,2025-W16
000001.SZ,2025-W17
000001.SZ,2025-W20
000001.SZ,2025-W21
000001.SZ,2025-W22
000001.SZ,2025-W24
000001.SZ,2025-W25
000001.SZ,2025-W26
000001.SZ,2025-W27
000001.SZ,2025-W28
000001.SZ,2025-W29
000001.SZ,2025-W30
000001.SZ,2025-W31
000001.SZ,2025-W32
000001.SZ,2025-W33
000001.SZ,2025-W34
000001.SZ,2025-W35
000001.SZ,2025-W36
000001.SZ,2025-W37
000001.SZ,2025-W38
000001.SZ,2025-W39
000001.SZ,2025-W42
000001.SZ,2025-W43
000001.SZ,2025-W44
000001.SZ,2025-W45
000001.SZ,2025-W46
000001.SZ,2025-W47
000001.SZ,2025-W48
000001.SZ,2025-W49
000001.SZ,2025-W50
000001.SZ,2025-W51
000001.SZ,2025-W52
000001.SZ,2026-W02
000001.SZ,2026-W03
000001.SZ,2026-W04
000001.SZ,2026-W05
000001.SZ,2026-W06
000001.SZ,2026-W07
000001.SZ,2026-W10
000001.SZ,2026-W11
000001.SZ,2026-W12
000001.SZ,2026-W13
000001.SZ,2026-W14
000001.SZ,2026-W16
000001.SZ,2026-W17
000001.SZ,2026-W20
000001.SZ,2026-W21
000001.SZ,2026-W22
000001.SZ,2026-W23
000002.SZ,2023-W24
000002.SZ,2023-W26
000002.SZ,2023-W27
000002.SZ,2023-W28
000002.SZ,2023-W29
000002.SZ,2023-W30
000002.SZ,2023-W31
000002.SZ,2023-W32
000002.SZ,2023-W33
000002.SZ,2023-W34
000002.SZ,2023-W35
000002.SZ,2023-W36
000002.SZ,2023-W37
000002.SZ,2023-W38
000002.SZ,2023-W41
000002.SZ,2023-W42
000002.SZ,2023-W43
000002.SZ,2023-W44
000002.SZ,2023-W45
000002.SZ,2023-W46
000002.SZ,2023-W47
000002.SZ,2023-W48
000002.SZ,2023-W49
000002.SZ,2023-W50
000002.SZ,2023-W51
000002.SZ,2023-W52
000002.SZ,2024-W02
000002.SZ,2024-W03
000002.SZ,2024-W04
000002.SZ,2024-W05
000002.SZ,2024-W08
000002.SZ,2024-W09
000002.SZ,2024-W10
000002.SZ,2024-W11
000002.SZ,2024-W12
000002.SZ,2024-W13
000002.SZ,2024-W15
000002.SZ,2024-W16
000002.SZ,2024-W17
000002.SZ,2024-W19
000002.SZ,2024-W20
000002.SZ,2024-W21
000002.SZ,2024-W22
000002.SZ,2024-W23
000002.SZ,2024-W25
000002.SZ,2024-W26
000002.SZ,2024-W27
000002.SZ,2024-W28
000002.SZ,2024-W29
000002.SZ,2024-W30
000002.SZ,2024-W31
000002.SZ,2024-W32
000002.SZ,2024-W33
000002.SZ,2024-W34
000002.SZ,2024-W35
000002.SZ,2024-W36
000002.SZ,2024-W37
000002.SZ,2024-W39
000002.SZ,2024-W42
000002.SZ,2024-W43
000002.SZ,2024-W44
000002.SZ,2024-W45
000002.SZ,2024-W46
000002.SZ,2024-W47
000002.SZ,2024-W48
000002.SZ,2024-W49
000002.SZ,2024-W50
000002.SZ,2024-W51
000002.SZ,2024-W52
000002.SZ,2025-W02
000002.SZ,2025-W03
000002.SZ,2025-W04
000002.SZ,2025-W07
000002.SZ,2025-W08
000002.SZ,2025-W09
000002.SZ,2025-W10
000002.SZ,2025-W11
000002.SZ,2025-W12
000002.SZ,2025-W13
000002.SZ,2025-W15
000002.SZ,2025-W16
000002.SZ,2025-W17
000002.SZ,2025-W20
000002.SZ,2025-W21
000002.SZ,2025-W22
000002.SZ,2025-W24
000002.SZ,2025-W25
000002.SZ,2025-W26
000002.SZ,2025-W27
000002.SZ,2025-W28
000002.SZ,2025-W29
000002.SZ,2025-W30
000002.SZ,2025-W31
000002.SZ,2025-W32
000002.SZ,2025-W33
000002.SZ,2025-W34
000002.SZ,2025-W35
000002.SZ,2025-W36
000002.SZ,2025-W37
000002.SZ,2025-W38
000002.SZ,2025-W39
000002.SZ,2025-W42
000002.SZ,2025-W43
000002.SZ,2025-W44
000002.SZ,2025-W45
000002.SZ,2025-W46
000002.SZ,2025-W47
000002.SZ,2025-W48
000002.SZ,2025-W49
000002.SZ,2025-W50
000002.SZ,2025-W51
000002.SZ,2025-W52
000002.SZ,2026-W02
000002.SZ,2026-W03
000002.SZ,2026-W04
000002.SZ,2026-W05
000002.SZ,2026-W06
000002.SZ,2026-W07
000002.SZ,2026-W10
000002.SZ,2026-W11
000002.SZ,2026-W12
000002.SZ,2026-W13
000002.SZ,2026-W14
000002.SZ,2026-W16
000002.SZ,2026-W17
000002.SZ,2026-W20
000002.SZ,2026-W21
000002.SZ,2026-W22
000002.SZ,2026-W23
000004.SZ,2023-W24
000004.SZ,2023-W27
000004.SZ,2023-W28
000004.SZ,2023-W29
000004.SZ,2023-W30
000004.SZ,2023-W31
000004.SZ,2023-W32
000004.SZ,2023-W33
000004.SZ,2023-W34
000004.SZ,2023-W35
000004.SZ,2023-W36
000004.SZ,2023-W37
000004.SZ,2023-W38
000004.SZ,2023-W41
000004.SZ,2023-W42
000004.SZ,2023-W43
000004.SZ,2023-W44
000004.SZ,2023-W45
000004.SZ,2023-W46
000004.SZ,2023-W47
000004.SZ,2023-W48
000004.SZ,2023-W49
000004.SZ,2023-W50
000004.SZ,2023-W51
000004.SZ,2023-W52
000004.SZ,2024-W02
000004.SZ,2024-W03
000004.SZ,2024-W04
000004.SZ,2024-W05
000004.SZ,2024-W08
000004.SZ,2024-W09
000004.SZ,2024-W10
000004.SZ,2024-W11
000004.SZ,2024-W12
000004.SZ,2024-W13
000004.SZ,2024-W15
000004.SZ,2024-W16
000004.SZ,2024-W17
000004.SZ,2024-W19
000004.SZ,2024-W20
000004.SZ,2024-W21
000004.SZ,2024-W22
000004.SZ,2024-W23
000004.SZ,2024-W25
000004.SZ,2024-W26
000004.SZ,2024-W27
000004.SZ,2024-W28
000004.SZ,2024-W29
000004.SZ,2024-W30
000004.SZ,2024-W31
000004.SZ,2024-W32
000004.SZ,2024-W33
000004.SZ,2024-W34
000004.SZ,2024-W35
000004.SZ,2024-W36
000004.SZ,2024-W37
000004.SZ,2024-W39
000004.SZ,2024-W42
000004.SZ,2024-W43
000004.SZ,2024-W44
000004.SZ,2024-W45
000004.SZ,2024-W46
000004.SZ,2024-W47
000004.SZ,2024-W48
000004.SZ,2024-W49
000004.SZ,2024-W50
000004.SZ,2024-W51
000004.SZ,2024-W52
000004.SZ,2025-W02
000004.SZ,2025-W03
000004.SZ,2025-W04
000004.SZ,2025-W07
000004.SZ,2025-W08
000004.SZ,2025-W09
000004.SZ,2025-W10
000004.SZ,2025-W11
000004.SZ,2025-W12
000004.SZ,2025-W13
000004.SZ,2025-W15
000004.SZ,2025-W16
000004.SZ,2025-W17
000004.SZ,2025-W20
000004.SZ,2025-W21
000004.SZ,2025-W22
000004.SZ,2025-W24
000004.SZ,2025-W25
000004.SZ,2025-W26
000004.SZ,2025-W27
000004.SZ,2025-W28
000004.SZ,2025-W29
000004.SZ,2025-W30
000004.SZ,2025-W31
000004.SZ,2025-W32
000004.SZ,2025-W33
000004.SZ,2025-W34
000004.SZ,2025-W35
000004.SZ,2025-W36
000004.SZ,2025-W37
000004.SZ,2025-W38
000004.SZ,2025-W39
000004.SZ,2025-W42
000004.SZ,2025-W43
000004.SZ,2025-W44
000004.SZ,2025-W45
000004.SZ,2025-W46
000004.SZ,2025-W47
000004.SZ,2025-W48
000004.SZ,2025-W49
000004.SZ,2025-W50
000004.SZ,2025-W51
000004.SZ,2025-W52
000004.SZ,2026-W02
000004.SZ,2026-W03
000004.SZ,2026-W04
000004.SZ,2026-W05
000004.SZ,2026-W06
000004.SZ,2026-W07
000004.SZ,2026-W10
000004.SZ,2026-W11
000004.SZ,2026-W12
000004.SZ,2026-W13
000004.SZ,2026-W14
000004.SZ,2026-W16
000004.SZ,2026-W17
000006.SZ,2023-W24
000006.SZ,2023-W26
000006.SZ,2023-W27
000006.SZ,2023-W28
000006.SZ,2023-W29
000006.SZ,2023-W30
000006.SZ,2023-W31
000006.SZ,2023-W32
000006.SZ,2023-W33
000006.SZ,2023-W34
000006.SZ,2023-W35
000006.SZ,2023-W36
000006.SZ,2023-W37
000006.SZ,2023-W38
000006.SZ,2023-W41
000006.SZ,2023-W42
000006.SZ,2023-W43
000006.SZ,2023-W44
000006.SZ,2023-W45
000006.SZ,2023-W46
000006.SZ,2023-W47
000006.SZ,2023-W48
