rank,ts_code,score,sid_top1,prob_top1,return_top1
1,000028.SZ,0.001193,<a_116><b_2><c_23>,0.06603,-0.001214
2,000089.SZ,0.001095,<a_116><b_2><c_23>,0.06928,-0.001214
3,000088.SZ,0.0008792,<a_116><b_2><c_23>,0.06838,-0.001214
4,000030.SZ,0.0008729,<a_116><b_2><c_23>,0.04898,-0.001214
5,000049.SZ,0.0006818,<a_14><b_64><c_23>,0.01296,0.009591
6,000059.SZ,0.0006783,<a_116><b_2><c_23>,0.03455,-0.001214
7,000009.SZ,0.0004698,<a_14><b_51><c_87>,0.008207,0.015089
8,000001.SZ,0.0004342,<a_116><b_2><c_23>,0.03482,-0.001214
9,000019.SZ,0.0003903,<a_116><b_2><c_23>,0.02049,-0.001214
10,000008.SZ,0.0003119,<a_116><b_2><c_23>,0.01716,-0.001214
11,000004.SZ,0.0001147,<a_17><b_99><c_109>,0.0005677,0.109312
12,000058.SZ,0.0001069,<a_14><b_15><c_35>,0.004602,0.020862
13,000039.SZ,0.0001014,<a_14><b_15><c_35>,0.003553,0.020862
14,000035.SZ,8.762e-05,<a_119><b_33><c_20>,0.0037,0.001983
15,000002.SZ,8.664e-05,<a_14><b_51><c_87>,0.004504,0.015089
16,000069.SZ,5.643e-05,<a_116><b_15><c_35>,0.002258,0.011873
17,000027.SZ,4.662e-05,<a_97><b_15><c_35>,0.003211,0.005837
18,000025.SZ,4.303e-05,<a_103><b_45><c_35>,0.01073,-0.006673
19,000006.SZ,2.598e-05,<a_119><b_59><c_23>,0.001034,
20,000060.SZ,2.406e-05,<a_97><b_15><c_35>,0.00159,0.005837
21,000017.SZ,1.968e-05,<a_119><b_33><c_20>,0.003559,0.001983
22,000014.SZ,1.834e-05,<a_116><b_33><c_20>,0.00121,0.0
23,000029.SZ,9.6e-06,<a_81><b_117><c_60>,0.002691,0.003651
24,000016.SZ,-1.637e-07,<a_119><b_33><c_20>,0.00163,0.001983
25,000031.SZ,-1.837e-05,<a_97><b_15><c_35>,0.001001,0.005837
26,000032.SZ,-2.054e-05,<a_109><b_33><c_20>,0.001526,-0.01366
27,000034.SZ,-2.354e-05,<a_12><b_15><c_35>,0.0005556,-0.008506
28,000063.SZ,-4.585e-05,<a_97><b_15><c_113>,0.000821,-0.015335
29,000011.SZ,-5.003e-05,<a_97><b_15><c_35>,0.008693,0.005837
30,000066.SZ,-7.668e-05,<a_103><b_33><c_87>,0.003166,-0.01711
31,000021.SZ,-7.844e-05,<a_24><b_33><c_115>,0.0003605,-0.064795
32,000042.SZ,-7.849e-05,<a_12><b_15><c_35>,0.004385,-0.008506
33,000078.SZ,-9.287e-05,<a_26><b_82><c_35>,0.0006056,-0.051186
34,000010.SZ,-9.511e-05,<a_41><b_82><c_113>,0.0005123,-0.059346
35,000026.SZ,-9.556e-05,<a_124><b_82><c_113>,0.0002695,-0.086201
36,000037.SZ,-0.0001008,<a_26><b_33><c_60>,0.0009013,-0.03585
37,000062.SZ,-0.000107,<a_24><b_33><c_115>,0.0004447,-0.064795
38,000007.SZ,-0.0001347,<a_103><b_33><c_87>,0.002491,-0.01711
39,000068.SZ,-0.0001569,<a_41><b_35><c_113>,0.001146,-0.02958
40,000065.SZ,-0.0001736,<a_58><b_33><c_20>,0.001896,-0.041434
41,000036.SZ,-0.0002138,<a_92><b_18><c_60>,0.01059,-0.012726
42,000012.SZ,-0.0002237,<a_41><b_33><c_23>,0.001576,-0.030823
43,000061.SZ,-0.0002318,<a_103><b_2><c_87>,0.01066,-0.005215
44,000050.SZ,-0.0002886,<a_41><b_35><c_113>,0.00235,-0.02958
45,000070.SZ,-0.0003556,<a_26><b_82><c_113>,0.0009906,-0.087624
46,000045.SZ,-0.0004053,<a_103><b_33><c_87>,0.01701,-0.01711
47,000020.SZ,-0.0004564,<a_103><b_33><c_87>,0.01859,-0.01711
48,000055.SZ,-0.0005309,<a_24><b_33><c_20>,0.002979,-0.07305
49,000048.SZ,-0.001005,<a_26><b_33><c_60>,0.01374,-0.03585
50,000056.SZ,-0.005417,<a_56><b_6><c_57>,0.009835,-0.221041
